MonthlySpend,PurchaseFrequency
428.58,5
1619.91,1
1432.89,5
105.23,4
110.58,3
101.45,4
836.86,2
241.01,5
2.10,3
4.84,3
893.50,1
2395.64,1
3044.15,1
1242.59,5
1894.63,1
110.47,4
1217.68,4
1202.13,4
132.36,4
1341.95,1
119.36,3
1164.11,4
1360.85,1
438.99,5
153.56,2
208.50,2
347.14,3
214.49,2
2402.38,1
2469.16,2
117.30,3
333.82,5
1351.41,4
2149.17,1
2519.22,1
269.80,2
2351.51,1
879.99,1
514.32,5
1105.50,1
160.55,3
2227.07,1
287.79,4
1567.25,1
1678.41,1
142.85,3
2223.53,1
1762.34,1
879.75,3
1696.08,1
186.85,3
1960.67,2
193.37,3
1038.19,3
1379.17,1
431.89,4
815.47,5
122.77,3
294.54,3
1895.94,5
1481.70,1
3228.81,1
571.67,4
2234.40,4
2560.25,2
290.01,3
952.70,4
1815.60,2
594.76,5
1729.55,2
818.08,3
614.91,4
294.87,3
1001.40,3
1975.05,2
1101.24,5
2223.22,1
183.74,3
754.76,4
1016.18,5
237.05,3
1528.79,4
2873.99,1
186.73,4
532.53,5
2406.16,5
1200.83,1
239.48,4
935.33,5
494.22,4
869.10,3
2935.21,1
2457.16,3
1872.72,4
2367.91,1
1984.37,1
213.98,5
994.14,1
250.65,2
763.87,3
2471.53,2
989.75,3
982.57,5
2503.58,1
1636.07,5
1544.62,4
2109.57,3
1190.09,4
1632.45,2
1254.71,1
355.72,5
1315.84,3
2274.21,5
1052.42,5
1683.89,3
1757.69,3
313.64,4
2096.81,5
701.93,1
2455.10,2
1036.40,1
2870.67,3
1640.04,2
1488.60,1
2311.02,1
1637.94,3
1777.11,2
1790.71,1
1463.96,1
2783.67,3
1249.03,3
1735.37,3
590.10,3
2294.72,3
1764.04,2
1824.34,1
1554.33,3
572.79,4
1672.12,4
1381.63,3
1836.45,1
277.18,5
